bid_code,bid_item_description,measurement_unit,total_qty,wavg_unit_price,simple_avg_unit_price,n_low_bids
100-7001,PREPARING ROW,AC,15.74,42945.941571791614,110505.380285714286,7
100-7002,PREPARING ROW,STA,1434.77,6481.0657233563567680,6078.2426315789473684,19
100-7003,"PREP ROW (TREE REMOVE) (0""-12"" DIA)",EA,136.0,350.1223529411764706,305.3760000000000000,5
100-7004,"PREP ROW (TREE REMOVE) (12""-24"" DIA)",EA,307.0,643.5397785016286645,561.8591428571428571,7
100-7005,"PREP ROW (TREE REMOVE) (24""-36"" DIA)",EA,206.0,463.4979320388349515,404.2066000000000000,5
100-7009,PREP ROW (TREE PRUNE AND TRIM),AC,0.55,4545.4550000000000000,4545.4550000000000000,1
100-7010,PREP ROW (TREE PRUNE AND TRIM),STA,19.0,2736.8421052631578947,3750.0000000000000000,2
100-7011,PREP ROW (HAND CLEARING),AC,0.2,12500.000000000000,12500.0000000000000000,1
100-7013,TREE PROTECTION (INSTALL),EA,22.0,451.0295454545454545,692.2650000000000000,2
100-7015,TREE PROTECTION (REMOVE),EA,22.0,103.0977272727272727,166.8150000000000000,2
104-7001,REMOV CONC (PAV),SY,195078.54,9.0860592764329690,22.3511111111111111,9
104-7003,REMOV CONC (MOWSTRIP),SY,473.0,29.4334038054968288,74.6000000000000000,5
104-7004,REMOV CONC (MOWSTRIP),CY,233.0,25.0000000000000000,25.0000000000000000,1
104-7005,REMOV CONC (MOWSTRIP),LF,91197.1,3.4729751274985718,17.7600000000000000,10
104-7006,REMOV CONC (RIPRAP),SY,9333.92,13.8021259449406037,21.8321666666666667,12
104-7007,REMOV CONC (RIPRAP),CY,124.0,409.6774193548387097,550.0000000000000000,2
104-7008,REMOV CONC (MEDIANS),SY,1421.0,8.6657142857142857,35.9160000000000000,5
104-7009,REMOV CONC (MEDIANS),CY,10.0,75.0000000000000000,75.0000000000000000,1
104-7011,REMOV CONC (DRIVEWAYS),SY,553.0,16.9932188065099458,13.8750000000000000,2
